,식단이름,만개의레시피이름,재료,만드는순서,만드는이미지
242,부추볶음 제육,부추제육볶음,[주재료] 부추 2줌 돼지고기목살 1근 [부재료] 양파 1/2개 붉은고추 2개 [고기양념] 맛술 2큰술 소금 약간 후춧가루 약간 [양념장] 고추장 4큰술 고춧가루 0.5큰술 간장 1큰술 다진마늘 1큰술 설탕 0.5큰술 참기름 0.3큰술,"['먼저 부추는 손가락 길이만큼 썰고~ 양파는 채썰고, 붉은고추는 어슷썰어요. 붉은고추 대신 풋고추나 청양고추로 준비하셔도 되요~ 부추의 2줌은 썰지 않은 상태에서 2줌이랍니다.', '돼지고기는 기름기가 살짝 붙어있는 목살이 좋아용..목살은 먹기좋게 썰어서 맛술 2, 소금, 후춧가루 약간으로 밑간하고~ 약 5분에서 10분정도면 되요.', '그리고~ 양념장의 분량대로 넣고 버무려줘요. 양념장분량은 맨 위 재료소개에 있어용~', '이제 달군 팬에 식용유 2를 두르고~ 양파와 붉은고추를 살짝 볶아 향을내고~', '양념한 돼지고기를 넣고 익을때까지 볶아줍니당~ 약 3분~5분정도면 다 익는듯해요.. 돼지고기 양마다 틀리겠죠~ 많으면 더 오래 볶아야...', '마지막으로 부추를 넣고 재빠르게 뒤적거린 후 불을 꺼 마무리~ 부추는 금방 익으니 빠르게 뒤적거린 후 마무리하세요...']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/b41076d16d9ac202b5a9ea49ef3a506d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/6ada2ec968b8fbe691b96b74356d15731.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/15630d683b20ccdd92e9f4cefb698df71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/9007a93d974a8077ce02a26e483478321.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/a038288515032def154ab0fcdb092bfe1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/8654e3a454742b5b3f9b8bf8a8239c5b1.jpg']"
243,표고쇠고기볶음,소고기표고버섯볶음 쫄깃하고 맛있는 밑반찬,[재료] 표고버섯 10개 쇠고기 80g 꽈리고추 15개 정도 굴 [양념] 소스 1큰술 다진마늘 1/2큰술 통깨 약간 [고기밑간] 간장 1/2큰술 청주 1큰술 후추약간,"['고기는 밑간 재료를 모두 넣고 조물조물 재워 둡니다.', '물이 끓으면 소금 반큰술 정도를 넣고 표고를 넣어 부글부글 끓어오르고 약 5초후에 건져서 찬물에 씻어 건져주세요,', '표고의 물기가 빠지도록 꼭 짜서 밑동을 떼어내고 채를 썰어주세요. 양파 있으면 함께 채를 썰어 넣어주셔도 좋아요.', '팬에 기름을 두르고 소고기를 넣고 볶다가 표고와 꽈리고추를 넣어 볶아주다가 굴소스 한큰술을 넣고 볶아주고 다진마늘도 넣어 볶아주세요. 마늘을 편으로 썰어서 넣을때는 마늘을 먼저 볶다가 재료들을 넣어 볶아주심 좋아요. 다 되면 불을 끄고 통깨를 넣어 섞어주심 되요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/10/13/3ba19e6930e9bb9709b497b5688368581.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/10/13/e0af0d00d1d5c4814943c2e55d1b8c311.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/10/13/9110d6880e5215a484d4cc6838c1ef0d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/10/13/0dd3cbb8e6c570dda07b751d92b727881.jpg']"
244,맛살전,특별한 부침개 맛살전,[재료] 맛살 5개 다진 당근 3큰술 다진 피망 3큰술 청양고추 3개 부침가루 2/3컵 달걀 3개 [양념] 카레가루 1큰술 후추가루 조금 소금 조금 식용유 적당량,"['맛살과 피망, 당근은 잘게 다져놓고 청양고추는 가늘게 칼질을 합니다.', '칼질한 재료들을 볼에 담고 부침가루를 넣어 고루 버무립니다.', '카레가루를 넣어 다시 한번 고루 버무리구요.', '후추, 소금을 넣고 달걀을 넣어 양념이 고루 섞이도록 버무립니다.', '양념이 고루 버무려진 재료를 한큰술씩 떠서 팬에 부침을 합니다.', '고소하고 카레향이 나는 맛살전 완성.']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/c5fec2cb8b8dedd49afc9e6cc1c48fab1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/d77400fac2061848e4aad623d653bc761.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/4b4a4435bbdcdb9cb24052cec06620f01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/3b284ed865460aa53be33854c9dead3c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/d2e15e7e9f36aab3b968c561ff808c3d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/06/29/59eec0ec6d16ffe5fe0ceeff56ca512f1.jpg']"
245,무생채,무생채 아삭하고 맛있는 무생채 황금 레시피,[재료] 무 800g 쪽파 20g [재료] 고춧가루 6T 다진 마늘 1T 매실청 2T 새우젓 1T 멸치 액젓 1T 설탕 1T,"['무는 보통 가로로 썰어서 많이들 하시지요\n동그란 모양으로 썰어지는 게 가로로 써는 방법이고요\n결대로 써는 게 세로로 써는 방법 이지요\n세로로 썰면 무길이가 비슷하고 잘 부서지지 않아요', '세로로 썰어 놓았어요', '제가 텃밭에 심은 쪽파 쪽파가 부추처럼 가늘어요\n쪽파도 무길이와 비슷하게 썰어놓았어요', '세로로 썰어 놓은 무채입니다\n무채를 채칼로 썰어주는 것보다 칼로 썰어야 맛있다고 하지요~!!~', '썰어놓은 무채에 고춧가루를 넣고 버물 버물 섞어줍니다', '새우젓은 다져서 넣어줍니다', '고춧가루로 버무려 놓은 무생채에 멸치 액젓 1T을 넣고 부족한 간은 고운 소금으로 해줍니다', '완성 접시에 담은 후 통깨 솔솔 뿌려줍니다', '절이지 않고 바로 무쳤기에 바로 먹는 것보다 한나절 지난 다음 간이 배어 들고 맛있어요', '아삭하고 맛있는 무생채 먹을수록 맛있어요~!~', '요즘처럼 맛있는 가을무로 생채 만들어 놓으면 다른 반찬 필요 없지요~!~!\n양푼에 밥 비벼서 고추장과 참기름 넓어 쓱쓱 비벼 먹으면\n밥 두 그릇도 뚝딱한답니다!~!~']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/f3c9f4c6c3c1d8a9fe7ab0bdf1c2fff31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/12930c8d2b60b20d23a87c40fb995c6c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/a3d14d521cce55b3a44f6eabd54866cd1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/d30ba9d402b5c9d6cee8624517d1db1b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/0693fa40da5bbd414a734dcefe7f8b8b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/7291f4498a49e21447c52807e4e4ff911.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/5229bc21a3b5b87c16c253e0069b671a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/91a1f3cd78a4ed509501b7c118b70d251.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/1ebd758398f95a028200170f60e039081.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/2a7b9a2e7aff9a4a46a7b8de2b3653bc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/14/d74b655ae05787b15b85281783a4c2e21.jpg']"
246,달래무침 단무지,단무지무침 남은 재료 이용한 초간단 반찬,[재료] 단무지 쪽파 3개 고춧가루 1t 깨소금 1t 다진마늘 1t 참기름 1t,"['단무지는 반달 모양으로 도톰하게 썰어 놓았어요~!~~', '쪽파는 쫑쫑 썰어서 준비했어요~!~!~\n썰어놓은 단무지에 모든 양념을 넣어줍니다~!~!\n살살 버무려줍니다~!~', '접시에 담은 후 통깨를 솔솔 뿌려주면 단무지무침 완성입니다~!~', '아삭하면서 맛있는 단무지무침\n초간단 레시피입니다\n혹시나 김밥 만들어 드시고 남은 단무지가 있을 때는\n이렇게 무쳐 놓으면 한 끼 반찬으로 너무 괜찮은 것 같지요~!~', '단무지무침 은근 밥반찬으로 괜찮아서 가끔 만들어 먹고 싶답니다~!~\n일부러 단무지 구입하게 되지 않지만\n이번에 꼬지 전 만들면서 한 봉지 구입했기에\n남은 단무지로 한 끼 반찬 맛있게 먹었답니다!~!!~', '명절에 느끼하고 기름기 가득한 음식들 많이 드셨지요\n단무지무침은 느끼한 속을 달래줄 반찬이기도 한 것 같아요~!~\n일부러 구매해서 만들어 먹게 되진 않지만 쓰고 남은 단무지\n이렇게 무쳐서 드시면 맛있는 한 끼 반찬으로 정말 괜찮답니다~!!~']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/941e10e5194544344a2100a5533970441.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/41d4bf901e083c339c9f65f2d63b219b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/49ead25f6f0fbe98e063283f17c673411.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/80ff08fb629df6f191f3463407ebc05a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/2b185a7854460a591fe2b3ed3aa9122c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/02/a0939485976479d5f904cd70e8c016f71.jpg']"
247,메추리알튀김,"메추리알튀김(옛날에 먹던 메추리알꼬치, 간식 안주 모두 굿)",[재료] 깐 메추리알 30개 튀김가루 3큰술 [튀김옷] 튀김가루 5큰술 물 4큰술 각 얼음 3개 [소스] 고추장 1/2큰술 케찹 2큰술 설탕 1큰술 물엿 1큰술 맛술 1큰술,"['재료준비\n- 메추리알은 삶은 후 껍질까지 까서 준비해요. 전 시판용 깐 메추리알을 사용했어요.', '- 메추리알 튀김가루 묻히기\nTip. 위생봉투에 튀김가루를 넣어 밀봉해서 흔들어 주면 얇고 고르고 깔끔하게 작업할 수 있어요.', '고르게 잘 묻혀졌어요.', '- 튀김옷 재료 넣어 섞기\nTip. 물과 튀김가루를 섞인 후 얼음을 넣어주세요. 튀길때까지 녹지 않고 있어야 바삭하고 얼음이 다 녹으면 묽어져서 튀김옷이 벗겨질 수 있어요.', '- 넉넉히 두른 팬에 튀김옷 묻혀 메추리알 튀기기\nTip. 기름 많이 필요 없이 팬 바닥에 넉넉하게 깔릴 정도면 돼요.', '- 다른 팬에 소스 재료 넣어 바글바글 한번 끓이기\nTip. 설탕이 녹고 재료가 고르게 섞이면 돼요.', '꼬지에 꽂아서 소스를 뿌려먹거나 하나씩 소스에 찍어먹어도 좋아요. 원하는 대로 담아내면 메추리알 튀김 완성~!']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/7b77e2482c3a97bbe111d421d12505aa1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/930a4c8e4758e8fa39ab1394172339fb1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/fceb213f1eb306339bce4ddcf64e42471.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/d82f2a92ab00bd3e39d7b8289844c0c61.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/28e1f545984049082e79b1e70a0e196d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/ab4ce0150296f7d32cfcb3c29d84cbf11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/05/24/19663b5beba6260c60924482ad25b8bb1.jpg']"
248,오징어국,오징어국 끓이기 뚝딱 금방이에요!,[재료] 오징어 2미 무 3~4cm두께 고추가루 1큰술 들기름 1큰술 고추장 1큰술 다진마늘 1/2큰술 파 1줌 양파 1/2개 애호박 1/3개 멸치액젓 2큰술,[],[]
249,비빔밥 고기없음,초간단 콩나물 돼지고기 비빔밥 만들기,[재료] 돼지고기 1줌 콩나물 1/2봉지 부추 적당량 간장 5숟갈 고춧가루 2~3숟갈 참기름 조금 다진마늘 1/2숟갈,"['콩나물을 삶아줍니다.\n간을 좀 삼삼하게 하고 싶으시면\n소금을 조금 넣어 끓여주세요.', '돼지고기를 잘게 썰어줍니다.', '후라이팬에 돼지고기 썰은 것을\n볶아줍니다. 완전히 익을때까지 볶아주세요.', '양념장 재료입니다.\n다진마늘 1/2숟갈, 고춧가루 1~2숟갈,간장적당량\n참기름 조금, 부추(선택사항) 적당한 크기로 썰어서\n같이 넣어 섞어줍니다.', '콩나물이 다 삶아졌으면 한입크기로 잘라주고\n밥위에 콩나물, 돼지고기, 양념장을 얹어서\n비벼주면\n콩나물 비빔밥 완성! 입니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/02/23/06d7cf475200f02d4b48679cfdd1a7f11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/23/8912150de18110eb7f5cf48f408894b01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/23/75722e8293b81a84e7d40bc3ff885eef1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/23/d02dcecc6b7066a7956e5422adb08a1f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/23/53919564b782d73ee13022939a50277d1.jpg']"
250,야채전,♧ 알록달록 야채전 ♧,[재료] 돼지고기 1줌 콩나물 1/2봉지 부추 적당량 간장 5숟갈 고춧가루 2~3숟갈 참기름 조금 다진마늘 1/2숟갈,"['모든 야채는 가늘게 채 썰고 긴 것은 2번정도 반대 방향으로 잘라요', '설탕 다진마늘 카레가루 부침가루를 골고루 섞은 후 달걀 2개를 풀면서 잘 섞어요', '기름 두른 팬에 반죽을 넣고 잘 펴줍니다 중불로 부쳐요', '뒤집은 후 윗면을 눌러주면 잘 악어요', '간장을 준비해서 찍어먹어요']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/10/13/688a9930796aba5ede82ceb89087617c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/13/8c7c508f0bd4aac40081b9a8b27028a91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/13/e4bf8d6fa128632733e90f05153d8dab1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/13/24a4056131b62d80c8b9fccb6c0cbf701.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/10/13/449de20bb6457e4ddf21b26b85d1c5e41.jpg']"
251,숙주미나리무침,쉽고간단한 숙주&미나리무침,[재료] 미나리 200g 숙주 350g [양념] 다진마늘 1작은술 맛소금 1작은술 들기름 1큰술 통깨 1/2큰술 굵은소금 1/2큰술,"['미나리는 잎부분을 떼어내고\n줄기쪽만 사용하세요\n미나리줄기를 먹기좋은 크기로 잘라주세요\n숙주는 흐르는 물에 씻어주세요', '끓는물에 굵은소금 1/2큰술을 넣고 자른미나리를 넣은후 3초만 데쳐내시고 찬물에 한번 씻어서 물기를 최대한 꼭짜주세요', '숙주도 살짝 데쳐내셔도 되시고 저처럼 냄비에 물 한컵만 붓고 살짝 끓여도 되세요\n채반에 건져내서 찬물에 한번 씻어 열기를 빼내시고 물기를\n꼭짜주세요', '데쳐놓은 숙주와 미나리를 섞고 그위에 다진마늘/맛소금을 넣고 들기름/통깨를 넣으신후 아래위로 흔들어가면서 살살 섞어주세요', '아삭한숙주와 향긋한 미나리의 만남~숙주&미나리무침 완성이네요\n요즘처럼 미세먼지 많은날\n해독작용이 뛰어난 두가지로\n간단하게 반찬으로 즐겨보세요']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/03/20/67ec8d32b33b30c9d2c08bea519e4cee1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/20/6ffd4312543abc32e41c2382f9b815931.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/20/56f9c019b8f5e1927cb9f187d074fc8e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/20/6ada220f34ca5f3c02d5ba198f2c0f171.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/20/cc7147a19305f099fd679b92656eee3b1.jpg']"
252,된장국 두부,청경채 두부 된장국,[재료] 청경채 4개 두부 1/2모 대파 1대 홍고추 1개 물 6컵 국물용 멸치 7개 다시마 1장 된장 3큰술 다진마늘 1큰술,"['재료: 청경채4개,두부반모,대파1대,홍고추1개\n육수재료: 물(쌀뜨물)6컵,국물용멸치7개,다시마1장(5x5cm)\n양념: 된장3큰술+다진마늘1큰술', '물6컵에 멸치와 다시마를 넣어 끓으면 다시마를 건져내고 15분정도 끓여\n육수를 만들어요.\n쌀뜨물이 있으면 좋은데 없는 관계로 물을 사용합니다.\n쌀뜨물을 넣으면 더 구수하고 깊은 맛이 더하겠죠.', '청경채 4개는 깨끗이 씻어 주세요.\n청경채는 단맛이 나고 아삭해서 그런지 겉절이로 먹어도 맛있구요.\n볶아도 맛있는 채소입니다.', '두부는 한입크기로 깍뚝 썰기해주고 대파 ,홍고추는 어슷 썰어준비합니다.', '멸치 다시마육수에 된장3큰술 을 풀어주고 다진마늘 1큰술 청경채를 넣어\n10분간 끓여주세요.\n살짝만 익혀 아삭한 식감을 살려주세요.', '마지막에 두부,대파,홍고추 넣어 한소끔 끓여주면 됩니다.', '청경채 두부 된장국', '청경채 두부 된장국']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/0d54c9916dea279f11caefdfccb223251.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/63496c5175cd10d8366aa1337ac5d9f21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/e0209c3d6f9ee1df61b72e89544397121.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/5ccd40383f469feb031f704c3e4bd6291.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/9a362e3d496c54b86799f17651646e911.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/fd64db9da5777e9b2c99a01e9129319b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/ad7496a665c64c13d221aed242ee50191.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/05/21/f07e9d65bdb1e9da3547fe4785e5ff1b1.jpg']"
253,오이무침 참치,"오이참치마요무침 - 초초간단 초초인기~[간단반찬,참치마요]",[재료] 참치통조림 오이 1/2개 마요네즈 백후추 톡톡 [오이절임] 굵은소금,"['제목 그대로 재료입니다.\nㅎㅎㅎ\n오이와 참치통조림', '통조림 한개에 오이 반개 사용.\n오이는 반갈라서..티스푼으로 씨를 벅벅 긁어내주세요.\n그래야 무르지않고 물기가 안나와 좋아요.', '속긁어낸 오이는 또 반 갈라서.\n총총총 썰어주세요.', '굵은소금 넣고 오이 절여주기.', '참치는 체에 받혀서 기름기를 쫘~악 빼줍니다.', '약 30분 절인 오이는 흐르는 물에 소금 씻어내고.\n면보에 꽉~짜주세요.', '물기짠 오이와 기름뺀 참치를 볼에 넣고.\n마요네즈와 백후추를 톡톡 넣어 버무려줍니다.', '포크로 버무리면 참치도 잘 으깨지고 좋아요~\n끝~']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/6c39dea3b190be3185c2cc77c10824ff1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/aa988a99e8af75dc5aec0c8970cd46241.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/ca3fa35153314571440a9dd9c2857a601.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/0933ccedf9263dd8a28e25de61f6589f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/4e9d1fbdb83c84e225634a3d89b1c1f31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/1339f8b17725a64a4a0cd1435fe8b8d31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/fdfc9f36bedd2b73a02805a906527a6d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/05/10/2712e4499a804327ba2ef51cabd74ed91.jpg']"
254,열무김치,시원한 열무김치 만들기~여름엔 열무김치 하나만 있으면 반찬걱정 끝!,[재료] 열무 2단 얼갈이 1단 청양고추 7개 홍고추 3봉지 쪽파 1/2 양파 2개 감자 2~3개 다시마 3조각 무우 4조각 마늘 1밥그릇 물 1리터 [양념] 고춧가루 3국자 액젓 3국자 설탕 1/2국자 매실청 1/2국자 소금(취향껏) 약간 생강 2쪽,"['솥에 물을 가득 담고 양파,다시마,감자를 넣고 끓여 주세요.', '열무2단,얼갈이1단을 다듬어서 7센티정도 크기로 잘라 주세요.', '따뜻한물에 소금 넣어 저어서 녹인후, 열무와 얼간이에 부어 절여 줍니다.\n30분정도 지나면 살살 뒤집어 주세요.\n한시간 정도 절여 주세요.', '홍고추는 씻어서 2센티 정도로 잘라주고 마늘은 밑둥을 잘라서 준비해요.', '양파는 채썰고, 청양고추는 어슷어슷 썰어 주세요.', '실파는 열무크기로 7센티정도로 잘라서 준비해 두세요.', '잘절여진 열무와 얼갈이를 3~4번 씻어서 채반에 건져 줍니다.', '양파는 채썰어 놓고, 실파는 7센티 정도로 잘라 줍니다.', '홍고추,마늘,무우조각,생강을 믹서기에 넣고 갈아 줍니다.', '곱지 않게 갈아 주세요.\n홍고추가 조각이 보이게 갈아 줍니다.', '갈은 양념은 실파와 양파 썰어서 준비한 큰다라이에 부어 준비합니다.', '국물로 낸 익은 감자와 양파한개를 믹서기에 갈아 서 준비된 다라이에 넣어 줍니다.', '고춧가루도 넣어 주고,\n설탕과 매일청,액젓을넣고 버무려 줍니다.', '간이 잘베이게 버무려 줍니다.', '물기 뺀 열무와 얼갈이를 넣고 버무려 줍니다.', '맨처음 다시마,감자,양파 넣고 끓여둔 국물을 식혀 두세요.', '마지막으로 육수와 열무김치를 버무려 주시면 열무물김치 완성 입니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/3c5a1f25ecfdd9d310ee4f08a36b99741.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/9c8d8225d969fb616a96aa6060e7bf721.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/73a863e161b37ea83dd9b13a318551381.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/fe899de2cb72b7790006f164d9ce9f2b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/01d08cf422c50f31c3ff90bbe236f6e51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/fa57c2b93e5261fa0cbebcc9307104591.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/ef007e9d7e1d42ec9fbd7d4b37815f4a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/c604e769b5ee87f61f0d5a56eaacc87f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/df5dc0a57f1c116d1503c75fa8b471361.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/5eb3cf3469a47950d7afac9971bc88fc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/39a2699ed4d41d7afbd75531d17118db1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/c87e6458e9de9d4dbf003579617a95aa1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/1577c43de6c56b2130e8f973998f777e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/aeeaf76d35252434626f9135aecaace41.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/56b1dbc3014a5fe42a20f14ef723846d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/1065b917a7c7d38a2959bec8c16eb9a11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/06/17/8f3626f1a1cdc3969239726a238fa9751.jpg']"
255,병어구이,tv.만물상 병어구이,[재료] 병어 2마리 전분가루 2큰술 식용유 3큰술 참기름 3큰술 [양념] 맛술 2큰술 가는소금 약간,"['병어는 대가리 쪽을 자르고 내장을 제거하고 씻은후 칼집을 넣어 주세요.밑면도 칼집을 넣어주세요', '맛술과 소금으로 밑간을 해주세요', '전분가루를 입혀서 5분정도 두세요', '팬에 식용유와 참기름을 두르고 노릇하게 구워주세요. (중불)', '밑면도 노릇 하게 구워주세요.', '완성그릇에 담아주세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/44ff439a3e0f05a76e6335806a794eb11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/b851281952775ad4006e3f502aa7cd3a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/2c0e2bd074078e597725307f845e24131.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/f0e68473def5b665fcab4eb87bc9d1f71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/015967b5e7b4a4f7c64b42b31fe1ec341.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/08/8c6e847f8a8d2449041765e36544f7aa1.jpg']"
